artifact_id,title,category,public_path,status,dp2_mapping,proposal_refs,sha256,notes
EVID-001,Phase I-equivalent feasibility study,Technical report,artifacts/feasibility/ASEMA_Phase_I_Feasibility_Study_Public.md,Completed,Completed feasibility study / technical report,Evaluator Snapshot; Section 3.4,5c75f7a32e1234c1c7a019206d02155d383d8a98ce70581d7f52427bb45a1cd0,Standalone study generated from pilot and prototype evidence.
EVID-003,Signal Android target manifest,Real-app pilot,artifacts/pilot/manifests/signal_android_target_manifest.json,Completed,Real-world SMA evidence,Section 3.4,313bff2b14280f282001b4f7a9df93b9a75e9238c8aa2e64a60d25367b3c2961,Public source target pinned to local commit.
EVID-004,Element X Android target manifest,Real-app pilot,artifacts/pilot/manifests/element_x_android_target_manifest.json,Completed,Real-world SMA evidence,Section 3.4,ff2ce897fb2ebf955128c73cf899dd5eb39f5314cecb6dfe0d4d3af186eb7321,Public source target pinned to local commit.
EVID-005,Android manifest component inventory,Real-app pilot,artifacts/pilot/android_manifest_component_inventory_public.csv,Completed,Test and measurement data,Section 3.4,d6abf4fe566bdc029bfb4a1d10c7fe6673a2b49ae9d9cc01ab83aafb2a6023ef,"Permissions, components, exported status, intent filters, schemes, hosts, MIME types."
EVID-006,Attack surface source observations,Real-app pilot,artifacts/pilot/attack_surface_category_counts.csv,Completed,Test and measurement data,Section 3.4,b22eee7730e7fad6d9270e92dcabcb8d6a5867642a0100e79f8cf820838976d2,Categorized implementation indicators.
EVID-007,Semgrep result summary,Static scan,artifacts/pilot/semgrep_results_summary.csv,Completed,Test and measurement data,Section 3.4,58ba40a91fda25cfa88ca81203ecafa194d5aa83cc5af3d3529591329f20aa39,Informational rule scan outputs.
EVID-008,SMABench pilot seed manifest,Benchmark artifact,artifacts/benchmark/SMABench_pilot_seed_manifest.md,Completed,Benchmark artifacts,Section 3.4; Section 5,8a83cb459b8305528b8132c6fb296af81a1cd35b4fbaf449ff4bb5e0442faaf0,Pilot benchmark seed classes.
EVID-009,Support repository check results,Prototype test logs,artifacts/verification/support_repo_check_summary.csv,Completed,Test and measurement data,Section 3.3,aae68eda6ed6b7d18bfd9717857b4e6c99a9992b0c7db14a110b87a99dd86319,npm test/build/lint results across local prototype repos.
EVID-010,Source citation set,Citations,artifacts/citations/source_citations.md,Completed,SOTA and threat comparison,Related Work,cc66fdf29575dc9b8373423a29fc16a66edc6105eab9f5a3163ea09d15d9bfe3,"Official, vendor, and standards source links."
EVID-011,Architecture diagram,Diagram,docs/assets/asema_architecture.svg,Completed,Prototype design / model,Section 3.1,47ef3cbd9a2349a96665c6f56ce18e7321ceb7171e49f1cb3a37a785e56781b3,Reproducible vector diagram.
EVID-012,Pilot traceability diagram,Diagram,docs/assets/pilot_traceability.svg,Completed,Prototype design / model,Section 3.4,520092760261f86bc4509c661334ac1f049c3f402495eb9b4f4ff225403aaedc,Reproducible vector diagram.
EVID-013,DP2 evidence map diagram,Diagram,docs/assets/dp2_evidence_map.svg,Completed,DP2 evidence mapping,Evaluator Snapshot,617ea2f4486ea48a5d8a439fcff4704910f762ccb7607dd99c2dec285a266f3e,Reproducible vector diagram.
